eventid,weapontype_id
197000000001,13.0
197000000002,13.0
197001000001,13.0
197001000002,6.0
197001000003,8.0
197001010002,5.0
197001020001,5.0
197001020002,6.0
197001020003,8.0
197001030001,8.0
197001050001,6.0
197001060001,8.0
197001080001,5.0
197001090001,8.0
197001090002,8.0
197001100001,6.0
197001110001,13.0
197001120001,6.0
197001120002,6.0
197001130001,8.0
197001140001,8.0
197001150001,5.0
197001190002,6.0
197001190003,6.0
197001190004,8.0
197001200001,13.0
197001210001,6.0
197001220001,13.0
197001220002,6.0
197001250001,8.0
197001250002,5.0
197001260001,6.0
197001260003,5.0
197001270002,8.0
197001280001,8.0
197001280002,6.0
197001300001,6.0
197001300002,6.0
197001300003,8.0
197001310001,13.0
197001310002,6.0
197002010001,8.0
197002010002,5.0
197002020001,8.0
197002030001,8.0
197002030002,8.0
197002040001,6.0
197002060001,6.0
197002060002,6.0
197002060003,6.0
197002060004,8.0
197002060005,8.0
197002060006,8.0
197002060007,8.0
197002070003,8.0
197002080001,6.0
197002080002,6.0
197002090003,6.0
197002090004,6.0
197002100001,5.0
197002110001,8.0
197002130001,6.0
197002130002,8.0
197002130003,6.0
197002150001,6.0
197002150002,8.0
197002160001,6.0
197002160002,6.0
197002160003,6.0
197002160004,5.0
197002170001,6.0
197002170002,6.0
197002170003,6.0
197002170004,6.0
197002180002,6.0
197002180003,6.0
197002200001,8.0
197002200002,8.0
197002200003,6.0
197002210001,6.0
197002210002,6.0
197002210003,8.0
197002210004,8.0
197002210005,6.0
197002210006,8.0
197002220001,8.0
197002220002,6.0
197002230001,6.0
197002230002,6.0
197002230003,6.0
197002230004,6.0
197002230005,6.0
197002240002,6.0
197002240003,8.0
197002270001,6.0
197002280001,5.0
197003000001,6.0
197003010001,6.0
197003010005,6.0
197003010006,8.0
197003010007,8.0
197003010008,6.0
197003020001,8.0
197003030001,13.0
197003030002,6.0
197003030003,6.0
197003040001,6.0
197003040002,6.0
197003040003,6.0
197003050001,6.0
197003050002,6.0
197003050003,5.0
197003060001,5.0
197003060003,6.0
197003060004,6.0
197003090001,8.0
197003090003,2.0
197003090004,8.0
197003090005,6.0
197003090006,6.0
197003100001,6.0
197003100002,6.0
197003100003,8.0
197003110001,13.0
197003110002,8.0
197003120001,6.0
197003120002,6.0
197003120003,6.0
197003120004,6.0
197003120005,6.0
197003130001,8.0
197003130002,8.0
197003140001,13.0
197003140002,6.0
197003140003,6.0
197003140004,5.0
197003150001,6.0
197003150002,6.0
197003160001,8.0
197003170002,6.0
197003180001,6.0
197003200001,8.0
197003200002,5.0
197003210001,6.0
197003210002,8.0
197003210003,8.0
197003220001,6.0
197003220002,6.0
197003220003,6.0
197003230001,6.0
197003240001,13.0
197003240002,13.0
197003240003,13.0
197003240004,6.0
197003240005,6.0
197003240006,6.0
197003270001,6.0
197003290001,13.0
197003290002,6.0
197003300001,8.0
197003300002,8.0
197003310001,13.0
197003310002,6.0
197003310003,6.0
197003310004,6.0
197004000001,13.0
197004010001,6.0
197004010002,8.0
197004010003,8.0
197004020001,13.0
197004020002,6.0
197004030001,5.0
197004040001,6.0
197004040002,6.0
197004040003,8.0
197004050001,13.0
197004050003,5.0
197004050004,6.0
197004050005,8.0
197004050006,6.0
197004050007,8.0
197004080001,6.0
197004080002,6.0
197004080003,8.0
197004090001,6.0
197004110001,6.0
197004110002,8.0
197004110003,8.0
197004130001,6.0
197004130002,6.0
197004130003,6.0
197004130004,6.0
197004140002,6.0
197004140003,6.0
197004140004,6.0
197004150001,6.0
197004150002,8.0
197004150004,8.0
197004150005,8.0
197004160001,6.0
197004160002,6.0
197004160003,6.0
197004160004,6.0
197004170001,5.0
197004190001,6.0
197004190002,6.0
197004190003,6.0
197004190004,6.0
197004190005,6.0
197004200001,8.0
197004210001,6.0
197004210002,8.0
197004220001,6.0
197004220002,8.0
197004220003,8.0
197004220004,8.0
197004220005,8.0
197004220006,8.0
197004230001,6.0
197004230002,6.0
197004230003,6.0
197004230004,6.0
197004240001,8.0
197004240002,5.0
197004240003,6.0
197004240004,5.0
197004250001,6.0
197004250003,8.0
197004250004,6.0
197004250005,6.0
197004250006,6.0
197004260001,6.0
197004260002,6.0
197004260003,6.0
197004270001,6.0
197004270002,8.0
197004270003,8.0
197004270004,6.0
197004270005,8.0
197004270006,6.0
197004280001,8.0
197004280002,8.0
197004290001,6.0
197004300001,6.0
197005000001,8.0
197005000002,6.0
197005010002,8.0
197005010003,6.0
197005010004,6.0
197005010005,6.0
197005010006,6.0
197005010007,8.0
197005010008,8.0
197005040001,5.0
197005040002,8.0
197005040003,6.0
197005040004,8.0
197005040005,8.0
197005050001,8.0
197005050002,8.0
197005050004,6.0
197005050005,8.0
197005050006,6.0
197005060001,8.0
197005060002,6.0
197005060003,8.0
197005060004,8.0
197005060005,8.0
197005060006,8.0
197005060007,8.0
197005070002,6.0
197005080001,8.0
197005090001,8.0
197005090002,6.0
197005090003,5.0
197005100001,8.0
197005100002,6.0
197005120001,6.0
197005120002,6.0
197005120003,8.0
197005130001,6.0
197005130002,6.0
197005130003,8.0
197005130004,8.0
197005140001,8.0
197005140002,6.0
197005140003,6.0
197005140004,8.0
197005150001,8.0
197005150002,5.0
197005150003,5.0
197005150004,6.0
197005160001,6.0
197005190001,8.0
197005200001,6.0
197005200002,8.0
197005200003,8.0
197005210001,6.0
197005220001,9.0
197005220002,5.0
197005220003,6.0
197005250001,8.0
197005260001,8.0
197005260002,8.0
197005270001,6.0
197005270002,8.0
197005270003,8.0
197005280001,5.0
197005280002,6.0
197005280003,6.0
197005280004,8.0
197005290001,13.0
197005290002,5.0
197005290004,6.0
197005290005,11.0
197005300001,6.0
197006010001,5.0
197006020001,6.0
197006020002,6.0
197006020003,6.0
197006030001,8.0
197006040001,6.0
197006050001,6.0
197006060001,6.0
197006060002,5.0
197006060003,5.0
197006060004,2.0
